lang	layer	step	score
hi_hdtb	0-3	19	55.94
hi_hdtb	0-4	0	10.33
hi_hdtb	0-4	1	10.87
hi_hdtb	0-4	2	13.58
hi_hdtb	0-4	3	17.09
hi_hdtb	0-4	4	19.61
hi_hdtb	0-4	5	21.46
hi_hdtb	0-4	6	22.85
hi_hdtb	0-4	7	23.96
hi_hdtb	0-4	8	24.87
hi_hdtb	0-4	9	25.60
hi_hdtb	0-4	10	26.23
hi_hdtb	0-4	11	26.76
hi_hdtb	0-4	12	27.20
hi_hdtb	0-4	13	27.60
hi_hdtb	0-4	14	27.94
hi_hdtb	0-4	15	28.24
hi_hdtb	0-4	16	28.50
hi_hdtb	0-4	17	28.74
hi_hdtb	0-4	18	28.95
hi_hdtb	0-4	19	29.14
ru_syntagrus	0	0	91.57
ru_syntagrus	0	1	91.90
ru_syntagrus	0	2	92.18
ru_syntagrus	0	3	92.35
ru_syntagrus	0	4	92.46
ru_syntagrus	0	5	92.52
ru_syntagrus	0	6	92.58
ru_syntagrus	0	7	92.62
ru_syntagrus	0	8	92.65
ru_syntagrus	0	9	92.67
ru_syntagrus	0	10	92.69
ru_syntagrus	0	11	92.70
ru_syntagrus	0	12	92.72
ru_syntagrus	0	13	92.73
ru_syntagrus	0	14	92.73
ru_syntagrus	0	15	92.73
ru_syntagrus	0	16	92.74
ru_syntagrus	0	17	92.73
ru_syntagrus	0	18	92.73
ru_syntagrus	0	19	92.73
ru_syntagrus	0-1	0	90.37
ru_syntagrus	0-1	1	91.05
ru_syntagrus	0-1	2	91.44
ru_syntagrus	0-1	3	91.68
ru_syntagrus	0-1	4	91.84
ru_syntagrus	0-1	5	91.96
ru_syntagrus	0-1	6	92.05
ru_syntagrus	0-1	7	92.13
ru_syntagrus	0-1	8	92.18
ru_syntagrus	0-1	9	92.23
ru_syntagrus	0-1	10	92.27
ru_syntagrus	0-1	11	92.30
ru_syntagrus	0-1	12	92.33
ru_syntagrus	0-1	13	92.35
ru_syntagrus	0-1	14	92.37
ru_syntagrus	0-1	15	92.38
ru_syntagrus	0-1	16	92.39
ru_syntagrus	0-1	17	92.40
ru_syntagrus	0-1	18	92.40
ru_syntagrus	0-1	19	92.41
ru_syntagrus	0-2	0	33.37
ru_syntagrus	0-2	1	33.68
ru_syntagrus	0-2	2	33.74
ru_syntagrus	0-2	3	33.98
ru_syntagrus	0-2	4	34.02
ru_syntagrus	0-2	5	34.06
ru_syntagrus	0-2	6	34.17
ru_syntagrus	0-2	7	34.16
ru_syntagrus	0-2	8	34.22
ru_syntagrus	0-2	9	34.28
ru_syntagrus	0-2	10	34.32
ru_syntagrus	0-2	11	34.41
ru_syntagrus	0-2	12	34.38
ru_syntagrus	0-2	13	34.35
ru_syntagrus	0-2	14	34.32
ru_syntagrus	0-2	15	34.30
ru_syntagrus	0-2	16	34.28
ru_syntagrus	0-2	17	34.26
ru_syntagrus	0-2	18	34.24
ru_syntagrus	0-2	19	34.23
ru_syntagrus	0-3	0	5.40
ru_syntagrus	0-3	1	5.43
ru_syntagrus	0-3	2	5.38
ru_syntagrus	0-3	3	5.48
ru_syntagrus	0-3	4	5.64
ru_syntagrus	0-3	5	5.53
ru_syntagrus	0-3	6	5.45
ru_syntagrus	0-3	7	5.40
ru_syntagrus	0-3	8	5.34
ru_syntagrus	0-3	9	5.29
ru_syntagrus	0-3	10	5.25
ru_syntagrus	0-3	11	5.27
ru_syntagrus	0-3	12	5.23
ru_syntagrus	0-3	13	5.20
ru_syntagrus	0-3	14	5.17
ru_syntagrus	0-3	15	5.15
ru_syntagrus	0-3	16	5.13
ru_syntagrus	0-3	17	5.11
ru_syntagrus	0-3	18	5.09
ru_syntagrus	0-3	19	5.07
ru_syntagrus	0-4	0	5.40
ru_syntagrus	0-4	1	5.63
ru_syntagrus	0-4	2	5.54
ru_syntagrus	0-4	3	5.61
ru_syntagrus	0-4	4	5.62
ru_syntagrus	0-4	5	5.54
ru_syntagrus	0-4	6	5.57
ru_syntagrus	0-4	7	5.49
ru_syntagrus	0-4	8	5.50
ru_syntagrus	0-4	9	5.57
ru_syntagrus	0-4	10	5.63
ru_syntagrus	0-4	11	5.56
ru_syntagrus	0-4	12	5.56
ru_syntagrus	0-4	13	5.50
ru_syntagrus	0-4	14	5.46
ru_syntagrus	0-4	15	5.41
ru_syntagrus	0-4	16	5.38
ru_syntagrus	0-4	17	5.39
ru_syntagrus	0-4	18	5.36
ru_syntagrus	0-4	19	5.33
ko_gsd	0	0	71.90
ko_gsd	0	1	74.60
ko_gsd	0	2	76.27
ko_gsd	0	3	77.58
ko_gsd	0	4	78.45
ko_gsd	0	5	79.14
ko_gsd	0	6	79.62
ko_gsd	0	7	80.00
ko_gsd	0	8	80.33
ko_gsd	0-1	0	23.60
ko_gsd	0-1	1	29.43
ko_gsd	0-1	2	32.66
ko_gsd	0-1	3	36.00
ko_gsd	0-1	4	38.99
ko_gsd	0-1	5	41.24
ko_gsd	0-1	6	43.11
ko_gsd	0-2	0	8.70
ko_gsd	0-2	1	8.60
ko_gsd	0-2	2	8.32
ko_gsd	0-2	3	8.20
ko_gsd	0-2	4	8.12
ko_gsd	0-2	5	8.13
ko_gsd	0-2	6	8.07
ko_gsd	0-2	7	8.05
ko_gsd	0-3	0	9.13
ko_gsd	0-3	1	8.92
ko_gsd	0-3	2	8.64
ko_gsd	0-3	3	8.47
ko_gsd	0-3	4	8.33
ko_gsd	0-3	5	8.27
ko_gsd	0-3	6	8.18
ko_gsd	0-3	7	8.19
ko_gsd	0-3	8	8.17
ko_gsd	0-3	9	8.18
ko_gsd	0-3	10	8.19
ko_gsd	0-4	0	8.63
ko_gsd	0-4	1	8.40
ko_gsd	0-4	2	8.21
ko_gsd	0-4	3	8.01
ko_gsd	0-4	4	8.01
ko_gsd	0-4	5	7.98
ko_gsd	0-4	6	7.98
ko_gsd	0-4	7	7.95
ko_gsd	0-4	8	8.00
